scenario,kind,param,factor,run,ranking,top1_kept,top3_set_kept,top3_order_kept,mean_abs_rank_change,max_abs_rank_change,kendall_tau,spearman,per_insurer_change
priority_injury,monte_carlo,all,0.0,180,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,181,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,182,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,183,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,184,SHINHAN|KAKAOPAY|HYUNDAI|KB|DB|MERITZ|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 1, ""DB"": -1, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,185,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,186,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,187,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,188,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,189,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,190,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,191,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,192,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,193,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,194,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,195,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,196,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
